refindex,wavelength
1.411,3.30102
1.41056,3.31655
1.41013,3.33222
1.40968,3.34803
1.40923,3.36398
1.40877,3.38007
1.4083,3.39632
1.40782,3.41271
1.40734,3.42925
1.40684,3.44594
1.40634,3.46279
1.40583,3.47979
1.40531,3.49695
1.40478,3.51427
1.40424,3.53175
1.40369,3.54939
1.40313,3.5672
1.40256,3.58517
1.40198,3.60332
1.40138,3.62163
1.40078,3.64012
1.40016,3.65878
1.39953,3.67762
1.39889,3.69663
1.39824,3.71583
1.39757,3.73522
1.39689,3.75478
1.3962,3.77454
1.39549,3.79448
1.39476,3.81462
1.39402,3.83495
1.39327,3.85548
1.3925,3.8762
1.39171,3.89713
1.3909,3.91826
1.39008,3.93959
1.38924,3.96114
1.38838,3.98289
1.3875,4.00486
1.38661,4.02704
1.38569,4.04944
1.38475,4.07206
1.38379,4.09491
1.38281,4.11798
1.38181,4.14127
1.38078,4.1648
1.37973,4.18856
1.37866,4.21256
1.37756,4.23679
1.37644,4.26127
1.37529,4.28599
1.37411,4.31096
1.37291,4.33617
1.37168,4.36164
1.37042,4.38737
1.36913,4.41335
1.36781,4.43959
1.36645,4.4661
1.36507,4.49287
1.36365,4.51991
1.3622,4.54723
1.36072,4.57482
1.3592,4.60269
1.35764,4.63084
1.35605,4.65928
1.35442,4.688
1.35275,4.71702
1.35104,4.74633
1.34929,4.77594
1.3475,4.80585
1.34566,4.83606
